ID,Value
33878943,"Intubation, Intratracheal"
33878943,Male
33878943,Middle Aged
33879079,Adult
33879079,Bile Duct Neoplasms
33879079,"Bile Ducts, Intrahepatic"
33879079,Cholangiocarcinoma
33879079,Female
33879079,Humans
33879079,Magnetic Resonance Imaging
33879079,Multimodal Imaging
33879079,Neurilemmoma
33879083,Aged
33879083,Animals
33879083,Endocarditis
33879083,Extraintestinal Pathogenic Escherichia coli
33879083,Female
33879083,Humans
33879083,Orthopedic Procedures
33879083,Phylogeny
33879083,Postoperative Period
33879083,Urinary Tract Infections
33879083,Urolithiasis
33879083,Virulence
33879091,Aphasia
33879091,Brain Diseases
33879091,Cerebral Cortex
33879091,Cerebral Hemorrhage
33879091,Humans
33879091,Male
33879091,Middle Aged
33879091,Neural Pathways
33879093,Diet
33879093,Female
33879093,Humans
33879093,Irritable Bowel Syndrome
33879093,Magnetic Resonance Imaging
33879093,Middle Aged
33879093,Thiamine
33879093,Wernicke Encephalopathy
33879122,"Anastomosis, Surgical"
33879122,Colectomy
33879122,Colon
33879122,Colonoscopy
33879122,"Constriction, Pathologic"
33879122,Fluoroscopy
33879122,Humans
33879122,Ileostomy
33879122,Laparoscopy
33879122,Male
33879122,Middle Aged
33879122,Prosthesis Implantation
33879122,Self Expandable Metallic Stents
33879122,Sigmoid Neoplasms
33879122,Surgical Wound Dehiscence
33879132,Adolescent
33879132,Anaplastic Lymphoma Kinase
33879132,Gastrointestinal Stromal Tumors
33879132,Humans
33879132,Immunohistochemistry
33879132,Male
33879132,"Mutation, Missense"
33879132,Stomach Neoplasms
33879132,Succinate Dehydrogenase
33879132,Tuberous Sclerosis Complex 1 Protein
33879147,Adult
33879147,Endometriosis
33879147,Female
33879147,Humans
33879147,Menstruation
33879147,Pneumothorax
33879147,"Thoracic Surgery, Video-Assisted"
33879178,Adult
33879178,Embryo Transfer
33879178,Family Characteristics
33879178,Female
33879178,Fertilization in Vitro
33879178,Genetic Testing
33879178,High-Throughput Nucleotide Sequencing
33879178,Humans
33879178,"Infant, Newborn"
33879178,Infertility
33879178,Live Birth
33879178,Male
33879178,Parturition
33879178,Pedigree
33879178,Pregnancy
33879178,Preimplantation Diagnosis
33879178,"Translocation, Genetic"
33879178,Treatment Outcome
33879216,Adolescent
33879216,Carcinoma
33879216,Choroid Plexus Neoplasms
33879216,Headache
33879216,Humans
33879216,India
33879216,Male
33879216,Neuroimaging
33879216,"Radiotherapy, Adjuvant"
33879216,Treatment Outcome
33879216,Vomiting
33879247,Adult
33879247,Coinfection
33879247,Hepatitis E
33879247,Hepatitis E virus
33879247,Humans
33879247,"Malaria, Cerebral"
33879247,"Malaria, Falciparum"
33879247,Male
33879247,Plasmodium falciparum
33879247,Risk Factors
33879247,South Africa
33879654,Adult
33879654,Female
33879654,Humans
33879654,Hysteroscopy
33879654,Morcellation
33879654,Placenta
33879654,Pregnancy
33879654,"Pregnancy, Angular"
33879654,"Ultrasonography, Prenatal"
33879654,Uterus
33879664,Aged
33879664,Computed Tomography Angiography
33879664,Esophageal and Gastric Varices
33879664,Female
33879664,Humans
33879664,"Imaging, Three-Dimensional"
33879664,Laparoscopy
33879664,Preoperative Care
33879664,Stomach
33879665,Acute Disease
33879665,Female
33879665,"Herpesvirus 3, Human"
33879665,Humans
33879665,Immunocompromised Host
33879665,"Lymphohistiocytosis, Hemophagocytic"
33879665,Middle Aged
33879665,Pancreatitis
33879665,Varicella Zoster Virus Infection
33879666,Cerebellar Neoplasms
33879666,Combined Modality Therapy
33879666,Glioblastoma
33879666,Humans
33879666,Male
33879666,Medulloblastoma
33879666,Middle Aged
33879666,"Neoplasms, Radiation-Induced"
33879666,"Radiotherapy, Adjuvant"
33879679,Aged
33879679,Antineoplastic Combined Chemotherapy Protocols
33879679,Biopsy
33879679,"Carcinoma, Pancreatic Ductal"
33879679,Drainage
33879679,Endosonography
33879679,Fluorouracil
33879679,Humans
33879679,Irinotecan
33879679,Leucovorin
33879679,Male
33879679,Oxaliplatin
33879679,Pancreas
33879679,Pancreatic Neoplasms
33879679,"Pancreatitis, Acute Necrotizing"
33879679,Postoperative Complications
33879679,Stents
33879679,Treatment Outcome
33879679,"Ultrasonography, Interventional"
33879687,"Administration, Cutaneous"
33879687,CTLA-4 Antigen
33879687,Combined Modality Therapy
33879687,"Drug Therapy, Combination"
33879687,Female
33879687,Glucocorticoids
33879687,Humans
33879687,Immune Checkpoint Inhibitors
33879687,Melanoma
33879687,Middle Aged
33879687,Physical Therapy Modalities
33879687,Programmed Cell Death 1 Receptor
33879687,"Pulse Therapy, Drug"
33879687,"Scleroderma, Systemic"
33879687,Skin
33879687,Skin Neoplasms
33879687,Treatment Outcome
33879688,Adenocarcinoma of Lung
33879688,Biopsy
33879688,Bronchoscopy
33879688,Humans
33879688,Lung
33879688,Lung Neoplasms
33879688,Lymph Node Excision
33879688,Lymph Nodes
33879688,Male
33879688,Mediastinum
33879688,Middle Aged
33879688,Pneumonectomy
33879688,"Tomography, X-Ray Computed"
33879689,Adolescent
33879689,"Biopsy, Fine-Needle"
33879689,Contrast Media
33879689,Elasticity Imaging Techniques
33879689,Female
33879689,Humans
33879689,Multimodal Imaging
33879689,Neurilemmoma
33879689,Thyroid Gland
33879689,Thyroid Neoplasms
33879689,Thyroidectomy
33879689,Treatment Outcome
33879689,"Ultrasonography, Doppler, Color"
33879690,Aged
33879690,Autoantibodies
33879690,"DNA, Viral"
33879690,Epstein-Barr Virus Infections
33879690,Factor VIII
33879690,Hemophilia A
33879690,"Herpesvirus 4, Human"
33879690,Humans
33879690,"Killer Cells, Natural"
33879690,Lymph Nodes
33879690,Lymphoproliferative Disorders
33879690,Male
33879690,Partial Thromboplastin Time
33879690,Prednisolone
33879690,T-Lymphocytes
33879690,Treatment Outcome
33879691,Child
33879691,"Child, Preschool"
33879691,DNA Mutational Analysis
33879691,Female
33879691,"Glycogen Phosphorylase, Liver Form"
33879691,Glycogen Storage Disease Type VI
33879691,Humans
33879691,Liver
33879691,Male
33879691,Mutation
33879691,Pedigree
33879692,Adult
33879692,Fatty Liver
33879692,Female
33879692,Humans
33879692,Liver
33879692,"Liver Failure, Acute"
33879692,Liver Function Tests
33879692,Multiple Organ Failure
33879692,Pancreas
33879692,Pancreatitis
33879692,Pregnancy
33879692,Pregnancy Complications
33879692,Severity of Illness Index
33879692,Stillbirth
33879692,"Tomography, X-Ray Computed"
33879693,Asians
33879693,Child
33879693,DNA Mutational Analysis
33879693,"Genetic Diseases, X-Linked"
33879693,Genetic Testing
33879693,High-Throughput Nucleotide Sequencing
33879693,Humans
33879693,"Infant, Newborn"
33879693,Male
33879693,Minority Groups
33879693,Thrombocytopenia
33879693,Wiskott-Aldrich Syndrome
33879693,Wiskott-Aldrich Syndrome Protein
33879717,"Aneurysm, Ruptured"
33879717,"Embolization, Therapeutic"
33879717,Humans
33879717,Intracranial Aneurysm
33879717,Laminectomy
33879717,Male
33879717,Middle Aged
33879717,Perineum
33879717,Postoperative Complications
33879717,Subarachnoid Hemorrhage
33879717,Tarlov Cysts
33879718,"Accidents, Traffic"
33879718,Atlanto-Axial Joint
33879718,Brown-Sequard Syndrome
33879718,Cervical Vertebrae
33879718,Child
33879718,Humans
33879718,Joint Dislocations
33879718,"Ligaments, Articular"
33879718,Male
33879718,Neck Injuries
33879718,Neck Pain
33879718,Radiography
33879718,Rupture
33879718,Spinal Cord Injuries
33879718,Spinal Fractures
33879718,Torticollis
33879719,Brain
33879719,Female
33879719,"Hearing Loss, Bilateral"
33879719,Humans
33879719,Hypertension
33879719,Magnetic Resonance Imaging
33879719,Middle Aged
33879719,Posterior Leukoencephalopathy Syndrome
33879719,Tinnitus
33879719,"Tomography, X-Ray Computed"
33879719,Ureter
33879719,Urinary Calculi
33879719,Urinary Tract Infections
33879720,"Diabetes Mellitus, Type 2"
33879720,Diabetic Ketoacidosis
33879720,Female
33879720,Gangrene
33879720,Humans
33879720,Hypoglycemic Agents
33879720,Middle Aged
33879720,Postoperative Complications
33879720,Sodium-Glucose Transporter 2 Inhibitors
33879752,Brain
33879752,Cervical Vertebrae
33879752,Diagnostic Errors
33879752,Follow-Up Studies
33879752,Gerstmann-Straussler-Scheinker Disease
33879752,Humans
33879752,Male
33879752,Middle Aged
33879752,Mutation
33879752,Prion Proteins
33879752,Spinal Cord Diseases
33879752,Spondylosis
33879752,Syndrome
33881005,Asbestos
33881005,Asbestosis
33881005,"Diagnosis, Differential"
33881005,Humans
33881005,Idiopathic Pulmonary Fibrosis
33881005,Lung Diseases
33881011,"Accidents, Occupational"
33881011,"Administration, Topical"
33881011,Adult
33881011,"Burns, Chemical"
33881011,Humans
33881011,Male
33881011,Occupations
33881011,Psoriasis
33881596,Autoantibodies
33881596,Autonomic Nervous System Diseases
33881596,Central Nervous System Diseases
33881596,Humans
33881596,"Hypotension, Orthostatic"
33881596,"Receptors, Cholinergic"
33881596,Retrospective Studies
33881596,Sarcoidosis
33882850,AIDS-Related Opportunistic Infections
33882850,Adult
33882850,Anti-HIV Agents
33882850,Antifungal Agents
33882850,China
33882850,"Diagnosis, Differential"
33882850,Follow-Up Studies
33882850,Gastrointestinal Hemorrhage
33882850,HIV
33882850,High-Throughput Nucleotide Sequencing
33882850,Humans
33882850,Male
33882850,Metagenomics
33882850,Mycoses
33882850,"RNA, Viral"
33882850,Talaromyces
33882850,Treatment Outcome
33882852,Adult
33882852,Brain
33882852,Diffusion Magnetic Resonance Imaging
33882852,Humans
33882852,Male
33882852,Migraine with Aura
33882852,Mutation
33882852,Neuroimaging
33882852,Sodium-Potassium-Exchanging ATPase
33882895,Female
33882895,Glomus Tumor
33882895,Humans
33882895,Middle Aged
33882895,Urinary Bladder Neoplasms
33882907,Adenoma
33882907,Adult
33882907,China
33882907,"Diabetes Insipidus, Nephrogenic"
33882907,"Diabetes Insipidus, Neurogenic"
33882907,Female
33882907,Humans
33882907,"Mutation, Missense"
33882907,Neurosurgical Procedures
33882907,Pituitary Apoplexy
33882907,Pituitary Neoplasms
33882907,"Receptors, Vasopressin"
33882907,Young Adult
33882939,Adolescent
33882939,Breast
33882939,Breast Diseases
33882939,Breast Neoplasms
33882939,Female
33882939,Fibroadenoma
33882939,Genetic Testing
33882939,Humans
33882979,Adult
33882979,Brain Diseases
33882979,Diabetic Ketoacidosis
33882979,Fatal Outcome
33882979,Humans
33882979,Immunocompromised Host
33882979,Male
33882979,Mucormycosis
33882979,Nose Diseases
33882979,Opportunistic Infections
33882979,Pancreatitis
33883015,"Aged, 80 and over"
33883015,Alzheimer Disease
33883015,Brazil
33883015,Cognition
33883015,Executive Function
33883015,Female
33883015,Humans
33883015,Memory
33883015,"Memory, Episodic"
33883015,Transcranial Direct Current Stimulation
33883015,Treatment Outcome
33883018,"46, XX Disorders of Sex Development"
33883018,Comparative Genomic Hybridization
33883018,Congenital Abnormalities
33883018,Female
33883018,Humans
33883018,Mullerian Ducts
33883018,Vagina
33883037,Antipsychotic Agents
33883037,Aripiprazole
33883037,Autism Spectrum Disorder
33883037,Child
33883037,Female
33883037,Humans
33883037,Male
33883037,Nocturnal Enuresis
33883037,Schizophrenia
33883119,COVID-19
33883119,COVID-19 Vaccines
33883119,Humans
33883119,Male
33883119,Steroids
33883119,Systemic Inflammatory Response Syndrome
33883119,Young Adult
33883345,Acute Disease
33883345,Adult
33883345,Female
33883345,Hematologic Neoplasms
33883345,Humans
33883345,"Lymphohistiocytosis, Hemophagocytic"
33883345,Male
33883345,Middle Aged
33883345,Pneumonia
33883766,Adult
33883766,"Anemia, Sickle Cell"
33883766,Cesarean Section
33883766,Fatty Liver
33883766,Female
33883766,Humans
33883766,Hypoglycemia
33883766,"Infant, Newborn"
33883766,Jaundice
33883766,Pregnancy
33883766,Pregnancy Complications
33883766,Pregnancy Outcome
33883766,Transaminases
33883776,Anticoagulants
33883776,Combined Modality Therapy
33883776,Humans
33883776,Male
33883776,Middle Aged
33883776,Necrosis
33883776,Protein C
33883776,Protein S
33883776,Skin Transplantation
33883776,Stroke Volume
33883776,"Ventricular Function, Left"
33883776,Warfarin
33883777,Adolescent
33883777,Anti-Bacterial Agents
33883777,Child
33883777,"Child, Preschool"
33883777,Esophageal and Gastric Varices
33883777,Female
33883777,Gastrointestinal Hemorrhage
33883777,Ghana
33883777,Humans
33883777,"Hypertension, Portal"
33883777,"Infant, Newborn"
33883777,Male
33883777,Octreotide
33883777,Propranolol
33883777,Sclerotherapy
33883777,Varicose Veins
33883779,Bone Plates
33883779,Female
33883779,Fibula
33883779,"Fracture Fixation, Internal"
33883779,Humans
33883779,Middle Aged
33883779,Radius
33883779,Radius Fractures
33883779,Treatment Outcome
33883852,Adult
33883852,Humans
33883852,Joint Dislocations
33883852,Male
33883852,Odontoid Process
33883852,Spinal Fractures
33883852,"Tomography, X-Ray Computed"
33883852,Young Adult
33883853,Child
33883853,Family
33883853,Humans
33883853,Male
33883853,Mutation
33883853,Thrombocytopenia
33883853,Wiskott-Aldrich Syndrome
33883853,Wiskott-Aldrich Syndrome Protein
33883854,Animals
33883854,Child
33883854,"Child, Preschool"
33883854,Female
33883854,Gastrointestinal Hemorrhage
33883854,Humans
33883854,Leeches
33883854,Male
33883854,Rectum
33883854,Urethra
33883854,Vagina
33884914,Adrenal Gland Neoplasms
33884914,Adult
33884914,Cardiomyopathies
33884914,Catecholamines
33884914,Female
33884914,Humans
33884914,"Neoplasm Recurrence, Local"
33884914,Pheochromocytoma
33884914,Thrombosis
33884916,Acquired Immunodeficiency Syndrome
33884916,Adult
33884916,B-Lymphocytes
33884916,Colic
33884916,Gastric Fistula
33884916,Humans
33884916,"Lymphoma, Non-Hodgkin"
33884916,Male
33884916,Stomach Neoplasms
33884917,Adult
33884917,Heavy Ion Radiotherapy
33884917,Humans
33884917,"Liposarcoma, Myxoid"
33884917,"Neoplasm Recurrence, Local"
33884917,Sarcoma
33884917,Soft Tissue Neoplasms
33884918,Extracorporeal Membrane Oxygenation
33884918,Female
33884918,Humans
33884918,Middle Aged
33884918,"Polychondritis, Relapsing"
33884918,Trachea
33884918,Tracheal Stenosis
33884918,Tracheostomy
33884986,Aortic Valve
33884986,Coronary Artery Bypass
33884986,Factor VII Deficiency
33884986,Hemorrhage
33884986,Humans
33884986,Rare Diseases
33884989,Aorta
33884989,"Aorta, Thoracic"
33884989,Aortic Coarctation
33884989,"Child, Preschool"
33884989,"Ductus Arteriosus, Patent"
33884989,"Echocardiography, Transesophageal"
33884989,Humans
33884989,Pulsatile Flow
33884990,Coronary Artery Bypass
33884990,Coronary-Subclavian Steal Syndrome
33884990,Humans
33884990,Mammary Arteries
33884990,Myocardial Infarction
33884990,Subclavian Steal Syndrome
33884991,Airway Management
33884991,Humans
33884991,"Intubation, Intratracheal"
33884991,Sternotomy
33884991,Trachea
33884991,Tracheal Stenosis
33884991,Treatment Outcome
33884992,Analgesics
33884992,Arterial Switch Operation
33884992,Humans
33884992,Nerve Block
33884992,"Pain, Postoperative"
33884992,Pleurodesis
33884993,Bronchoalveolar Lavage
33884993,Child
33884993,Cough
33884993,Dyspnea
33884993,Humans
33884993,Lung
33884993,Pulmonary Alveolar Proteinosis
33884995,Anesthetics
33884995,Coronary Vessels
33884995,Critical Care
33884995,Fistula
33884995,Humans
33884995,Pulmonary Artery
33884995,Tetralogy of Fallot
33885039,Adrenal Cortex Hormones
33885039,Anti-Bacterial Agents
33885039,Child
33885039,Humans
33885039,IgA Vasculitis
33885039,Male
33885039,Scrotum
33885039,Spermatic Cord Torsion
33886812,Adult
33886812,Angioedema
33886812,Eosinophilia
33886812,Female
33886812,Humans
33886812,Skin
33886812,Urticaria
33886812,Vasculitis
33886867,Humans
33886867,Plant Leaves
33886867,Taxus
33886866,Adult
33886866,Aged
33886866,Breathing Exercises
33886866,COVID-19
33886866,Cardiac Rehabilitation
33886866,Dyspnea
33886866,Fatigue
33886866,Female
33886866,Humans
33886866,Male
33886866,Middle Aged
33886866,Muscle Strength
33886866,Respiratory Therapy
33886866,Walk Test
33888082,Adolescent
33888082,Biopsy
33888082,Child
33888082,Female
33888082,Hemothorax
33888082,Humans
33888082,Immunohistochemistry
33888082,"Neoplasm Recurrence, Local"
33888082,"Sarcoma, Ewing"
33888082,Young Adult
33888085,"Abdomen, Acute"
33888085,Adult
33888085,COVID-19
33888085,Colombia
33888085,Female
33888085,Humans
33888106,"Administration, Oral"
33888106,Aged
33888106,"Aged, 80 and over"
33888106,Anticoagulants
33888106,"Fractures, Compression"
33888106,Hematoma
33888106,Humans
33888106,Lumbosacral Plexus
33888106,Male
33888106,Paralysis
33888106,Spinal Fractures
33888106,Stroke
33888114,"Arthroplasty, Replacement, Hip"
33888114,Follow-Up Studies
33888114,Hip Dislocation
33888114,"Hip Dislocation, Congenital"
33888114,Hip Prosthesis
33888114,Humans
33888114,Male
33888114,Middle Aged
33888114,"Osteoarthritis, Hip"
33888114,Osteopoikilosis
33888114,Treatment Outcome
33888133,Aged
33888133,COVID-19
33888133,Comorbidity
33888133,Computed Tomography Angiography
33888133,"Echocardiography, Transesophageal"
33888133,Electrocardiography
33888133,Heart Rupture
33888133,Heart Ventricles
33888133,Humans
33888133,Male
33888133,Pandemics
33888133,"Radiography, Thoracic"
33888133,SARS-CoV-2
33888133,ST Elevation Myocardial Infarction
33888146,Adult
33888146,Choriocarcinoma
33888146,Female
33888146,Humans
33888146,Neoplasm Metastasis
33888146,Ovarian Neoplasms
33888146,Prognosis
33888150,Antifungal Agents
33888150,Dermatitis
33888150,Humans
33888150,Male
33888150,Melanoma
33888150,Middle Aged
33888150,Tinea Versicolor
33888155,BRCA1 Protein
33888155,Bevacizumab
33888155,Chemoradiotherapy
33888155,Female
33888155,Humans
33888155,Middle Aged
33888155,Mutation
33888155,"Neoplasm Recurrence, Local"
33888155,Ovarian Neoplasms
33888155,Phthalazines
33888155,Piperazines
33888155,Uterine Cervical Neoplasms
33888159,"Aged, 80 and over"
33888159,Antithyroid Agents
33888159,Female
33888159,Humans
33888159,Hyperthyroidism
33888159,Iran
33888159,Methimazole
33888159,Recurrence
33890166,Adult
33890166,Autopsy
33890166,Butylscopolammonium Bromide
33890166,Edema
33890166,Fatal Outcome
33890166,Forensic Toxicology
33890166,Humans
33890166,Male
33890166,Prisoners
33890166,Scopolamine
33890166,Substance Abuse Detection
33890986,Adolescent
33890986,Adult
33890986,Autoantibodies
33890986,COVID-19
33890986,Child
33890986,Female
33890986,Humans
33890986,Interferon Type I
33890986,Male
33890986,Middle Aged
33890986,Pneumonia
33890986,"Polyendocrinopathies, Autoimmune"
33890986,SARS-CoV-2
33890986,Young Adult
33892637,Anti-Bacterial Agents
33892637,Brain Abscess
33892637,High-Throughput Nucleotide Sequencing
33892637,Humans
33892637,Immunocompromised Host
33892637,Male
33892637,Metagenomics
33892637,Methylprednisolone
33892637,Middle Aged
33892637,Nocardia
33892637,Nocardia Infections
33892637,"Purpura, Thrombocytopenic, Idiopathic"
33892637,Treatment Outcome
33892701,Adolescent
33892701,Adult
33892701,"Bone Cysts, Aneurysmal"
33892701,Bone Neoplasms
33892701,Chondroblastoma
33892701,Diagnostic Errors
33892701,Humans
33892701,Male
33892701,Patella
33892701,Young Adult
33892782,"Carcinoma, Renal Cell"
33892782,"Diabetes Mellitus, Type 1"
33892782,Humans
33892782,Hypophysitis
33892782,Kidney Neoplasms
33892782,Male
33892782,Middle Aged
33892782,Nivolumab
33892800,Acrylamides
33892800,Aniline Compounds
33892800,"Carcinoma, Non-Small-Cell Lung"
33892800,Humans
33892800,Lung Neoplasms
33892800,Mutation
33892800,Neoadjuvant Therapy
33892800,Protein Kinase Inhibitors
33892803,Adult
33892803,Cesarean Section
33892803,Female
33892803,Humans
33892803,Leiomyoma
33892803,Multicenter Studies as Topic
33892803,Pregnancy
33892803,Uterine Myomectomy
33892803,Uterine Neoplasms
33892806,"Abdomen, Acute"
33892806,Humans
33892806,Intestinal Perforation
33892806,Intestines
33892806,Male
33892806,Mesenteric Ischemia
33892806,Thromboangiitis Obliterans
33893131,Adult
33893131,COVID-19
33893131,Cardio-Renal Syndrome
33893131,Humans
33893131,Male
33894744,Anticoagulants
33894744,Arthroscopy
33894744,Female
33894744,Humans
33894744,Middle Aged
33894744,Pulmonary Embolism
33894744,Risk Factors
33894744,Venous Thromboembolism
33894744,Venous Thrombosis
33894773,Humans
33894773,Ligaments
33894773,Lung Neoplasms
33894773,Male
33894773,Middle Aged
33894773,Pneumonectomy
33894773,Robotic Surgical Procedures
33894773,Robotics
33894773,Thoracoscopy
33894773,Treatment Outcome
33896422,"Aged, 80 and over"
33896422,Humans
33896422,Image-Guided Biopsy
33896422,Liver
33896422,"Lymphoma, Large B-Cell, Diffuse"
33896422,Male
33896422,Ultrasonography
33896422,"Ultrasonography, Interventional"
33897224,Echocardiography
33897224,Female
33897224,Heart Neoplasms
33897224,Hospitals
33897224,Humans
33897224,Infant
33897224,"Infant, Newborn"
33897224,Pregnancy
33897224,Rhabdomyoma
33897224,Tuberous Sclerosis
33898278,Animals
33898278,Bone Neoplasms
33898278,Dog Diseases
33898278,Dogs
33898278,Female
33898278,Osteosarcoma
33898278,Postoperative Complications
33898278,Tibial Fractures
33898288,Animals
33898288,Dogs
33898288,External Fixators
33898288,Female
33898288,Femoral Fractures
33898288,Fracture Fixation
33898288,"Fractures, Closed"
33898288,Growth Plate
33898288,Treatment Outcome
33898293,Animals
33898293,Biometry
33898293,Female
33898293,"Lens Implantation, Intraocular"
33898293,"Lenses, Intraocular"
33898293,Phacoemulsification
33898293,Pongo pygmaeus
33899523,Adult
33899523,Atrial Appendage
33899523,Atrial Fibrillation
33899523,Heart Diseases
33899523,Humans
33899523,Thromboembolism
33899523,Thrombosis
33902431,Aged
33902431,Agenesis of Corpus Callosum
33902431,Clonidine
33902431,Female
33902431,Headache
33902431,Humans
33902431,Hyperhidrosis
33902431,Hypothermia
33902431,Syndrome
33902462,Antiviral Agents
33902462,Benzimidazoles
33902462,"Drug Resistance, Viral"
33902462,"Drug Therapy, Combination"
33902462,Fluorenes
33902462,Genotype
33902462,Hepacivirus
33902462,"Hepatitis C, Chronic"
33902462,High-Throughput Nucleotide Sequencing
33902462,Humans
33902462,Male
33902462,Middle Aged
33902462,"RNA, Viral"
33902462,Recurrence
33902462,Ribavirin
33902462,Sofosbuvir
33902462,Sustained Virologic Response
33902491,"Brain Injuries, Traumatic"
33902491,Brain Ischemia
33902491,Diencephalon
33902491,Female
33902491,"Hematoma, Subdural, Acute"
33902491,Humans
33902491,Magnetic Resonance Imaging
33902491,Mesencephalon
33902491,Young Adult
33902529,"Decompression, Surgical"
33902529,Humans
33902529,Lipomatosis
33902529,Low Back Pain
33902529,Lumbar Vertebrae
33902529,Lumbosacral Region
33902529,Male
33902529,Middle Aged
33902529,Obesity
33902529,Spinal Fusion
33902529,Spinal Stenosis
33902538,Adrenal Gland Neoplasms
33902538,Aged
33902538,Diagnostic Errors
33902538,"Hemangioma, Cavernous"
33902538,Humans
33902538,Male
33902538,"Neoplasm Recurrence, Local"
33902538,Pheochromocytoma
33902671,Aged
33902671,COVID-19
33902671,Cardiac Surgical Procedures
33902671,Comorbidity
33902671,Elective Surgical Procedures
33902671,Emergencies
33902671,Humans
33902671,Male
33902671,Middle Aged
33902671,Pandemics
33902671,Postoperative Period
33902671,SARS-CoV-2
33902671,State Medicine
