DescriptorName,TreeNumber
"Physical Appearance, Body",E01.370.600.115.450
"Physical Appearance, Body",G07.100.175
Fruit and Vegetable Juices,G07.203.100.606
Fruit and Vegetable Juices,J02.200.606
Ghee,D10.212.302.199.500
Ghee,G07.203.300.350.100.500
Ghee,G07.203.300.375.200.500
Ghee,J02.500.350.100.500
Ghee,J02.500.375.200.500
Hydraulic Fracking,J01.576.655.875.750.500
Psychological Trauma,F03.950.750.375
Peer Influence,F01.829.316.483.750
Vegetable Products,G07.203.300.850.450
Vegetable Products,J02.500.850.800
Direct-to-Consumer Advertising,J01.219.687.274.500
Direct-To-Consumer Screening and Testing,E01.370.398
Direct-To-Consumer Screening and Testing,N02.421.726.233.166
Extracellular Vesicles,A11.284.295.588
Fungal Viruses,B04.352
Telocytes,A11.329.830.750
Exoskeleton Device,E07.341
Shellfish Hypersensitivity,C20.543.480.370.763
"Failure to Rescue, Health Care",E01.789.800.760.500
"Failure to Rescue, Health Care",H01.770.644.145.431.500
"Failure to Rescue, Health Care",N04.761.559.590.800.760.500
"Failure to Rescue, Health Care",N05.715.360.575.575.800.760.500
Psychiatric Rehabilitation,H02.403.680.600.875
Psychiatric Rehabilitation,N02.421.784.578
Symptom Flare Up,C23.550.291.937.500
Isolated Heart Preparation,E05.519
Isolated Heart Preparation,E05.598.750
"Diet, Vegan",E02.642.249.300.750
"Diet, Vegan",G07.203.650.240.300.750
Behavior Observation Techniques,E05.796.112
Behavior Observation Techniques,F04.669.112
Behavior Rating Scale,F04.711.271
Alcohol Drinking in College,F01.145.317.269.625
"Obesity, Metabolically Benign",C18.654.726.750.500.650
"Obesity, Metabolically Benign",C23.888.144.699.500.250
Whole Grains,G07.203.300.300.550.500
Whole Grains,G07.203.300.775.500.500
Whole Grains,J02.500.300.550.500
Whole Grains,J02.500.775.500.500
Transanal Endoscopic Surgery,E01.370.388.250.630.500
Transanal Endoscopic Surgery,E04.210.240.250.680.500
Transanal Endoscopic Surgery,E04.502.250.250.250.680.500
Transanal Endoscopic Surgery,E04.502.250.630.500
Transanal Endoscopic Microsurgery,E01.370.388.250.630.500.500
Transanal Endoscopic Microsurgery,E04.210.240.250.680.500.500
Transanal Endoscopic Microsurgery,E04.494.787
Transanal Endoscopic Microsurgery,E04.502.250.250.250.680.500.500
Transanal Endoscopic Microsurgery,E04.502.250.630.500.500
Cold Injury,C26.212
Personal Protective Equipment,E07.700.560
Personal Protective Equipment,J01.637.708.560
Nerve Agents,D27.720.599
Nerve Agents,D27.720.777.300.500
War-Related Injuries,C26.946
War-Related Injuries,I01.880.735.950.500.951.500
War-Related Injuries,N06.850.460.350.600.903.500
Abnormal Involuntary Movement Scale,E01.370.600.550.162
Blood Alcohol Content,D02.033.375.135
Social Communication Disorder,F03.625.374.250
Legal Services,I01.880.604.583.482
Defamation,I01.198.240.240
Defamation,I01.880.735.191.051
Anger Management Therapy,F04.754.137.087
"Psychology, Sports",F04.096.628.914
War Exposure,I01.880.735.950.500.951
War Exposure,N06.850.460.350.600.903
Childhood-Onset Fluency Disorder,F03.625.374.125
No-Show Patients,F01.100.150.750.500.600.750
No-Show Patients,F01.145.488.887.500.600.750
No-Show Patients,M01.643.550
No-Show Patients,N04.452.758.635.500
No-Show Patients,N05.300.150.800.500.600.750
Cellular Reprogramming Techniques,E05.200.500.380
Cellular Reprogramming Techniques,E05.242.378
Cellular Reprogramming Techniques,E05.393.085
Metacognition,F02.463.188.756
Prescription Drug Overuse,E02.319.306.500.750
"Near Miss, Healthcare",E02.319.529.750
"Near Miss, Healthcare",N02.421.450.500.750
"Near Miss, Healthcare",N02.421.450.550
"Near Miss, Healthcare",N04.761.700.594
"Near Miss, Healthcare",N05.700.513
RNAi Therapeutics,E02.095.301.250
Dynamic Light Scattering,E05.196.822.325
"Time Out, Healthcare",N04.761.700.635
"Time Out, Healthcare",N05.700.739
Healthcare Failure Mode and Effect Analysis,E05.318.740.600.800.715.500
Healthcare Failure Mode and Effect Analysis,N04.452.871.715.400
Healthcare Failure Mode and Effect Analysis,N05.715.360.750.625.700.690.400
Healthcare Failure Mode and Effect Analysis,N06.850.505.715.500
Healthcare Failure Mode and Effect Analysis,N06.850.520.830.600.800.715.500
Spirit Possession,K01.844.619.500
"Crew Resource Management, Healthcare",N04.590.254
Computer Heuristics,L01.224.050.375.095
Ataxins,D12.776.631.069
Ataxins,D12.776.660.075
Alarmins,D23.469.025
Dermal Fillers,D27.720.102.461
Action Spectrum,E05.196.867.826.150
Diplomacy,F01.829.316.171
Diplomacy,F02.463.785.373.520.500
Diplomacy,I01.738.305
Mutation Accumulation,G05.365.590.594
Internal Ribosome Entry Sites,D13.444.735.790.878.942.250
Internal Ribosome Entry Sites,G02.111.570.080.689.687.093
Internal Ribosome Entry Sites,G05.360.080.689.687.093
Biological Mimicry,G16.012.750
Specific Learning Disorder,F03.625.562.700
Potentially Inappropriate Medication List,N04.761.700.615
Potentially Inappropriate Medication List,N05.700.594
Late Onset Disorders,C23.550.291.883
Phakopsora pachyrhizi,B01.300.179.113
Farmers,M01.526.390
Culturally Appropriate Technology,J01.897.052
Social Learning,F02.784.629.529.663
Financial Statements,N03.219.463.030.140
Miners,M01.526.693
Chronopharmacokinetics,G07.690.725.249
"Administrative Claims, Healthcare",N04.452.859.564.137
Child Health,N01.400.225
Interleukin-33,D12.644.276.374.465.850
Interleukin-33,D12.776.467.374.465.850
Interleukin-33,D23.529.374.465.850
S100A12 Protein,D12.776.157.125.750.875
Telopodes,A11.284.180.900
Telopodes,A11.329.830.750.500
Drosophila simulans,B01.050.500.131.617.720.500.500.750.310.250.750
Optimism,F01.100.787
Pessimism,F01.100.893
Ataxin-1,D12.776.631.069.500
Ataxin-1,D12.776.660.075.500
Adolescent Health,N01.400.075
Ataxin-2,D12.776.157.725.452.125
Ataxin-2,D12.776.631.069.750
Ataxin-2,D12.776.660.075.750
Ataxin-2,D12.776.664.962.452.125
Ataxin-3,D08.811.037.250
Ataxin-3,D12.776.631.069.875
Ataxin-3,D12.776.660.075.875
Point-of-Care Testing,N04.590.874.500
Ataxin-7,D12.776.631.069.901
Ataxin-7,D12.776.660.075.900
Ataxin-10,D12.776.631.069.950
Glucagon-Like Peptide Receptors,D12.776.543.750.695.021
Glucagon-Like Peptide Receptors,D12.776.543.750.750.360.100
Glucagon-Like Peptide-1 Receptor,D12.776.543.750.695.021.500
Glucagon-Like Peptide-1 Receptor,D12.776.543.750.750.360.100.500
Glucagon-Like Peptide-2 Receptor,D12.776.543.750.695.021.600
Glucagon-Like Peptide-2 Receptor,D12.776.543.750.750.360.100.600
Receptor for Advanced Glycation End Products,D12.776.543.750.615
Receptor for Advanced Glycation End Products,D23.469.850
RNA Recognition Motif Proteins,D12.776.157.725.813
RNA Recognition Motif Proteins,D12.776.664.962.813
ELAV-Like Protein 2,D12.776.157.725.813.500.500
ELAV-Like Protein 2,D12.776.631.520.500
ELAV-Like Protein 2,D12.776.664.962.813.500.500
ELAV-Like Protein 3,D12.776.157.725.813.500.750
ELAV-Like Protein 3,D12.776.631.520.750
ELAV-Like Protein 3,D12.776.664.962.813.500.750
ELAV-Like Protein 4,D12.776.157.725.813.500.875
ELAV-Like Protein 4,D12.776.631.520.875
ELAV-Like Protein 4,D12.776.664.962.813.500.875
ELAV-Like Protein 1,D12.776.157.725.813.500.250
ELAV-Like Protein 1,D12.776.664.962.813.500.250
Whey,A12.790.760
Whey,G07.203.100.700.750
Whey,G07.203.300.350.525.760
Whey,J02.200.700.750
Whey,J02.500.350.525.760
Whey Proteins,A12.790.520.500
Whey Proteins,A12.790.760.500
Whey Proteins,D12.776.256.159.750.816
Whey Proteins,G07.203.300.350.525.760.500
Whey Proteins,G07.203.300.428.159.812.500
Whey Proteins,J02.500.350.525.520.500
Whey Proteins,J02.500.350.525.760.500
Whey Proteins,J02.500.428.159.750.500
Hoarding Disorder,F03.080.600.250
Poly(ADP-ribose) Polymerase Inhibitors,D27.505.519.389.739
Poly(ADP-ribose) Polymerase Inhibitors,D27.505.954.248.692
Autism Spectrum Disorder,F03.625.164.113
CELF Proteins,D12.776.157.725.813.250
CELF Proteins,D12.776.664.962.813.250
CELF1 Protein,D12.776.157.725.813.250.500
CELF1 Protein,D12.776.664.962.813.250.500
Industrial Development,I01.261.262.500
Industrial Development,J01.576.519
Cloud Computing,L01.224.097
Natural Resources,G16.500.275.553
Natural Resources,J01.728
Natural Resources,N06.230.350
Glycemic Load,G07.203.650.660.750
Glycemic Load,J01.576.423.850.730.750.750
Glycemic Load,N06.850.601.750.750
Adenylyl Cyclase Inhibitors,D27.505.519.389.108
RAW 264.7 Cells,A11.251.210.172.875
RAW 264.7 Cells,A11.733.397.815
Accreditation,N03.706.110.070
Accreditation,N05.700.200.100
Clostridiales,B03.353.625
Graphic Novel,V02.700.415
South Sudan,Z01.058.290.120.745
Motor Disorders,F03.608
Maternal Health,N01.400.900.500
Seed Bank,N02.278.065.650
Trauma and Stressor Related Disorders,F03.950
Maternal-Child Health Services,N02.421.143.130.660
Maternal-Child Health Services,N02.421.143.620.275
Serine-Arginine Splicing Factors,D12.776.157.725.829.500
Serine-Arginine Splicing Factors,D12.776.664.962.829.500
Infant Health,N01.400.388
Bipolar and Related Disorders,F03.600.150
Gender Dysphoria,F03.835.550
Formative Feedback,F02.784.629.529.223
Aripiprazole,D03.383.606.170
Aripiprazole,D03.633.100.810.835.122
Prunus dulcis,B01.875.800.575.912.250.859.937.500.625.500
Albumin-Bound Paclitaxel,D02.455.426.392.368.242.888.777.500
Albumin-Bound Paclitaxel,D02.455.849.291.850.777.500
Albumin-Bound Paclitaxel,D12.776.034.073
Child Protective Services,I01.409.418.500
Child Protective Services,N03.540.400.500
Social Workers,M01.526.919
Prunus africana,B01.875.800.575.912.250.859.937.500.625.250
Prunus armeniaca,B01.875.800.575.912.250.859.937.500.625.375
Prunus avium,B01.875.800.575.912.250.859.937.500.625.400
Refugium,G16.500.275.683
Refugium,G16.500.819
Distance Counseling,F02.784.176.350
Distance Counseling,F04.408.413.437
Distance Counseling,N02.421.143.303.175
Distance Counseling,N02.421.461.363.437
Distance Counseling,N04.452.758.849.550.500
Lubiprostone,D10.251.355.325.050.500
Prunus persica,B01.875.800.575.912.250.859.937.500.625.750
Data Anonymization,H01.770.644.205
Data Anonymization,L01.224.134.500
Data Anonymization,N03.706.437.650.124.160
Data Anonymization,N04.452.910.200.500
Personally Identifiable Information,I01.880.604.583.080.660
Prunus domestica,B01.875.800.575.912.250.859.937.500.625.450
Darbepoetin alfa,D12.776.395.240.150.500
"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",D02.705.429.906.125
"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",D03.383.533.375
"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",D03.383.742.680.245.500.600.125
"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",D03.633.100.759.138.881.125
"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",D26.310.375
Bevacizumab,D12.776.124.486.485.114.224.060.375
Bevacizumab,D12.776.124.790.651.114.224.060.438
Bevacizumab,D12.776.377.715.548.114.224.200.438
Giraffes,B01.050.150.900.649.313.500.380.443
Risedronic Acid,D02.705.429.500.872
Risedronic Acid,D03.383.725.836
Fluticasone-Salmeterol Drug Combination,D02.033.100.291.057.750.500
Fluticasone-Salmeterol Drug Combination,D02.092.063.291.057.750.500
Fluticasone-Salmeterol Drug Combination,D02.092.471.683.061.750.500
Fluticasone-Salmeterol Drug Combination,D04.210.500.054.079.129.114.500
Fluticasone-Salmeterol Drug Combination,D26.310.438
Fluticasone,D04.210.500.054.079.129.114
Salmeterol Xinafoate,D02.033.100.291.057.750
Salmeterol Xinafoate,D02.092.063.291.057.750
Salmeterol Xinafoate,D02.092.471.683.061.750
"Parks, Recreational",J03.925.680
Warfare and Armed Conflicts,I01.880.735.950
Armed Conflicts,I01.880.735.950.250
Everolimus,D02.540.505.760.500
"Aspirin, Dipyridamole Drug Combination",D02.455.426.559.389.657.410.595.176.500
"Aspirin, Dipyridamole Drug Combination",D03.383.742.175.500
"Aspirin, Dipyridamole Drug Combination",D26.310.125
Self-Control,F01.145.813.595
Saline Waters,G16.500.275.725
Compassion Fatigue,C23.888.369.500.500
Compassion Fatigue,F01.145.126.937.500
Compassion Fatigue,F01.145.126.990.734.500
Compassion Fatigue,F02.830.900.666.750
Plantaginaceae,B01.875.800.575.912.250.583.700
Lamiales,B01.875.800.575.912.250.583
Clinical Study,V03.175
Surgical Clearance,E01.370.505
Pemetrexed,D03.633.100.759.758.399.454.650
Pemetrexed,D12.125.067.625.525
Pemetrexed,D12.125.119.409.525
Brimonidine Tartrate,D03.633.100.857.070
Clinical Studies as Topic,E05.318.372.250
Clinical Studies as Topic,N05.715.360.330.250
Clinical Studies as Topic,N06.850.520.450.250
Beijing,Z01.252.474.164.225
Beijing,Z01.433.114
African Union,I01.615.500.125
African Union,N03.540.089
Firmicutes,B03.353
Dutasteride,D04.210.500.925.100.125
Calceolariaceae,B01.875.800.575.912.250.583.190
Interferon beta-1a,D12.644.276.374.440.890.275.500
Interferon beta-1a,D12.776.467.374.440.890.275.500
Interferon beta-1a,D23.529.374.440.890.275.500
Olmesartan Medoxomil,D03.383.129.308.674
Olmesartan Medoxomil,D03.383.129.617.584
"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination",D03.383.129.308.674.500
"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination",D03.383.129.617.584.500
"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination",D03.383.725.203.065.500
"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination",D26.310.063
Interferon beta-1b,D12.644.276.374.440.890.275.750
Interferon beta-1b,D12.776.467.374.440.890.275.750
Interferon beta-1b,D23.529.374.440.890.275.750
Nebivolol,D02.033.100.291.491
Nebivolol,D02.092.063.291.503
Nebivolol,D03.383.663.283.755
Nebivolol,D03.633.100.150.755
Celecoxib,D02.065.884.247
Celecoxib,D02.886.590.700.247
Celecoxib,D03.383.129.539.160
Varenicline,D03.633.100.079.900
Varenicline,D03.633.100.857.942
Tadalafil,D03.383.725.150.500
Tadalafil,D03.633.100.473.402.111.500
Tadalafil,D03.633.300.154.672
Certolizumab Pegol,D05.750.741.125
Certolizumab Pegol,D12.644.541.500.650.250
Certolizumab Pegol,D12.776.124.486.485.114.224.060.500
Certolizumab Pegol,D12.776.124.486.485.680.650.250
Certolizumab Pegol,D12.776.124.790.651.114.224.060.500
Certolizumab Pegol,D12.776.124.790.651.680.650.250
Certolizumab Pegol,D12.776.377.715.548.114.224.200.500
Certolizumab Pegol,D12.776.377.715.548.680.650.250
"Censorship, Research",I01.880.604.238
"Censorship, Research",K01.752.566.479.173.200
"Censorship, Research",N05.350.670.250
Data Accuracy,E05.318.308.028
Data Accuracy,E05.318.370.725.250
Data Accuracy,L01.399.250.202
Data Accuracy,N05.715.360.300.202
Data Accuracy,N05.715.360.325.685.250
"Brimonidine Tartrate, Timolol Maleate Drug Combination",D02.033.100.624.915.500
"Brimonidine Tartrate, Timolol Maleate Drug Combination",D02.033.755.624.915.500
"Brimonidine Tartrate, Timolol Maleate Drug Combination",D02.092.063.624.915.500
"Brimonidine Tartrate, Timolol Maleate Drug Combination",D02.886.675.867.768.500
"Brimonidine Tartrate, Timolol Maleate Drug Combination",D03.383.129.708.867.768.500
"Brimonidine Tartrate, Timolol Maleate Drug Combination",D03.633.100.857.070.500
"Brimonidine Tartrate, Timolol Maleate Drug Combination",D26.310.312
"Albuterol, Ipratropium Drug Combination",D02.033.100.291.057.125
"Albuterol, Ipratropium Drug Combination",D02.092.063.291.057.125
"Albuterol, Ipratropium Drug Combination",D02.092.471.683.061.125
"Albuterol, Ipratropium Drug Combination",D02.145.074.722.229.400.500
"Albuterol, Ipratropium Drug Combination",D03.132.760.180.572.400.500
"Albuterol, Ipratropium Drug Combination",D03.132.889.180.648.400.500
"Albuterol, Ipratropium Drug Combination",D03.605.084.500.722.229.400.500
"Albuterol, Ipratropium Drug Combination",D03.605.869.229.400.500
"Albuterol, Ipratropium Drug Combination",D26.310.344
Dual Use Research,H01.770.644.217
Professionalism,K01.752.566.479.171.566
Professionalism,N05.350.340.581
Genetic Background,G05.346
Selective Breeding,E05.820.150.760
Selective Breeding,G05.090.701
Legendary Creatures,I01.076.201.450.515.500
Mometasone Furoate,D04.210.500.745.432.719.526
Fallopia multiflora,B01.875.800.575.912.250.825.359.590
Sildenafil Citrate,D02.065.884.675
Sildenafil Citrate,D02.886.590.700.675
Sildenafil Citrate,D03.383.606.854
Sildenafil Citrate,D03.633.100.759.824
"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",D02.626.809.500
"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",D02.705.429.906.500
"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",D03.383.742.680.245.500.600.500
"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",D03.383.742.755.500
"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",D03.633.100.759.138.881.500
"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",D26.310.407
Emtricitabine,D03.383.742.680.245.500.600
Emtricitabine,D13.570.230.329.525
Emtricitabine,D13.570.685.245.500.600
Rilpivirine,D02.626.809
Rilpivirine,D03.383.742.755
Tenofovir,D02.705.429.906
Tenofovir,D03.633.100.759.138.881
Glatiramer Acetate,D12.644.219
Rosuvastatin Calcium,D02.065.884.650
Rosuvastatin Calcium,D02.455.526.510.432.500
Rosuvastatin Calcium,D02.886.590.700.650
Rosuvastatin Calcium,D03.383.742.775
Duloxetine Hydrochloride,D02.886.778.260
Duloxetine Hydrochloride,D03.383.903.260
Tolterodine Tartrate,D02.033.100.624.706.750
Tolterodine Tartrate,D02.033.755.624.706.750
Tolterodine Tartrate,D02.092.063.624.706.800
Tolterodine Tartrate,D02.455.426.559.389.115.900
Tolterodine Tartrate,D02.455.426.559.389.657.239.756
Valsartan,D03.383.129.617.850
Valsartan,D12.125.070.950.550
Valsartan,D12.125.142.930.500
Ononis,B01.875.800.575.912.250.401.604
"Mometasone Furoate, Formoterol Fumarate Drug Combination",D02.033.100.291.425.500
"Mometasone Furoate, Formoterol Fumarate Drug Combination",D02.092.063.291.425.500
"Mometasone Furoate, Formoterol Fumarate Drug Combination",D04.210.500.745.432.719.526.500
"Mometasone Furoate, Formoterol Fumarate Drug Combination",D26.310.469
Formoterol Fumarate,D02.033.100.291.425
Formoterol Fumarate,D02.092.063.291.425
Serotonin and Noradrenaline Reuptake Inhibitors,D27.505.519.562.437.693
Serotonin and Noradrenaline Reuptake Inhibitors,D27.505.519.625.600.693
Serotonin and Noradrenaline Reuptake Inhibitors,D27.505.696.577.600.693
"Sleep Aids, Pharmaceutical",D27.505.696.277.350.500
"Sleep Aids, Pharmaceutical",D27.505.954.427.210.350.500
Orexin Receptor Antagonists,D27.505.519.625.663
Orexin Receptor Antagonists,D27.505.696.277.350.500.500
Orexin Receptor Antagonists,D27.505.696.577.663
Orexin Receptor Antagonists,D27.505.954.427.210.350.500.500
Orexins,D12.644.400.360
Orexins,D12.776.631.650.363
Hoodia,B01.875.800.575.912.250.456.500.389
Prasugrel Hydrochloride,D02.886.778.600
Prasugrel Hydrochloride,D03.383.606.800
Prasugrel Hydrochloride,D03.383.903.600
Etanercept,D12.644.541.500.697.624
Etanercept,D12.776.124.486.485.538.500.624
Etanercept,D12.776.124.486.485.680.697.624
Etanercept,D12.776.124.790.651.538.500.624
Etanercept,D12.776.124.790.651.680.660.624
Etanercept,D12.776.377.715.548.538.500.624
Etanercept,D12.776.377.715.548.680.660.624
Etanercept,D12.776.543.750.705.852.760.232
"Adapalene, Benzoyl Peroxide Drug Combination",D02.241.223.100.133.500
"Adapalene, Benzoyl Peroxide Drug Combination",D02.455.426.559.389.127.133.500
"Adapalene, Benzoyl Peroxide Drug Combination",D02.455.426.559.847.638.090.500
"Adapalene, Benzoyl Peroxide Drug Combination",D04.615.638.090.500
"Adapalene, Benzoyl Peroxide Drug Combination",D26.310.032
Adapalene,D02.455.426.559.847.638.090
Adapalene,D04.615.638.090
Epoetin Alfa,D12.644.276.374.410.240.150.500
Epoetin Alfa,D12.776.395.240.150.750
Epoetin Alfa,D12.776.467.374.410.240.150.500
Epoetin Alfa,D23.529.374.410.240.150.750
Cetuximab,D12.776.124.486.485.114.224.060.750
Cetuximab,D12.776.124.790.651.114.224.060.750
Cetuximab,D12.776.377.715.548.114.224.200.750
Hyssopus Plant,B01.875.800.575.912.250.583.520.330
Rivastigmine,D02.241.081.251.583.899
Parmeliaceae,B01.300.107.685
